frase1,frase2,pontuacao
Vida glamourosa,Vida glamourosa,7
Vida glamourosa,Experiências e viagens,5
Vida glamourosa,Equilíbrio material/espiritual,2
Vida glamourosa,Riqueza espiritual,1
Vida glamourosa,Vida simples com família,0
Experiências e viagens,Experiências e viagens,7
Experiências e viagens,Equilíbrio material/espiritual,3
Experiências e viagens,Riqueza espiritual,2
Experiências e viagens,Vida simples com família,1
Vida simples com família,Vida simples com família,7
Vida simples com família,Riqueza espiritual,4
Vida simples com família,Equilíbrio material/espiritual,4
Riqueza espiritual,Riqueza espiritual,7
Riqueza espiritual,Equilíbrio material/espiritual,6
Equilíbrio material/espiritual,Equilíbrio material/espiritual,7